T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
2.235;-0.013129247;-0.00322152;0.00052689
2.24;-0.007098176;-0.004523326;-0.002723319
2.245;-0.001502112;-0.005348932;-0.003592385
2.25;0.000025168;-0.004943875;-0.000793952
2.255;-0.002137502;-0.003172763;0.004812301
2.26;-0.004497975;-0.000249529;0.010324204
2.265;-0.004675653;0.002993124;0.012861708
2.27;-0.002980623;0.005117677;0.011494305
2.275;-0.000851145;0.004709624;0.007110695
2.28;0.000337113;0.001786928;0.001745602
2.285;-0.000117889;-0.001567965;-0.002290664
2.29;-0.001914543;-0.003389583;-0.003746268
2.295;-0.003950657;-0.003747606;-0.002685125
2.3;-0.004849297;-0.003307079;-0.000071612
2.305;-0.004109306;-0.001801139;0.002445806
2.31;-0.002702005;0.000995432;0.003450315
2.315;-0.002376974;0.00408394;0.002659326
2.32;-0.004318203;0.005546502;0.000660666
2.325;-0.007226919;0.004023363;-0.001707679
2.33;-0.007629889;-0.000215945;-0.003518961
2.335;-0.003518961;-0.005768417;-0.004045651
2.34;0.003476368;-0.010567179;-0.003400797
2.345;0.009550951;-0.012547711;-0.0021785
2.35;0.011767487;-0.011588295;-0.00066806
2.355;0.009974342;-0.009599778;0.000592834
2.36;0.005754328;-0.008278668;0.000694296
2.365;0.000898964;-0.008367567;-0.000415967
2.37;-0.002740413;-0.010207772;-0.00204611
2.375;-0.003949529;-0.013226669;-0.004123539
2.38;-0.00290553;-0.015516862;-0.007008726
2.385;-0.000886727;-0.015106624;-0.010269861
2.39;0.000471463;-0.011606175;-0.012810261
2.395;0.000576905;-0.005992971;-0.013834875
2.4;0.000443729;0.000636574;-0.013108319
2.405;0.001225537;0.0067183;-0.011027961
2.41;0.003028156;0.009931334;-0.008554388
2.415;0.0048803;0.009027844;-0.006250989
2.42;0.00543881;0.004606644;-0.004002867
2.425;0.004525779;-0.002088215;-0.002196013
2.43;0.003363318;-0.00952202;-0.001880911
2.435;0.003193181;-0.015590149;-0.003368918
2.44;0.004609193;-0.018485956;-0.005820906
2.445;0.007222185;-0.018174929;-0.008423538
2.45;0.009464558;-0.016335307;-0.011004797
2.455;0.009729742;-0.014728333;-0.01332773
2.46;0.007936566;-0.01390228;-0.014633138
2.465;0.005647899;-0.012866137;-0.014246425
2.47;0.004405394;-0.010080039;-0.012296624
2.475;0.004530149;-0.00559936;-0.009449846
2.48;0.005733411;-0.002047497;-0.00593425
2.485;0.007614251;-0.002233832;-0.00149373
2.49;0.009465055;-0.00594154;0.003379547
2.495;0.01038689;-0.01049464;0.007258208
2.5;0.009454159;-0.013105463;0.009408538
2.505;0.006288554;-0.011794723;0.010435866
2.51;0.001944876;-0.006921551;0.011046576
2.515;-0.001739618;-0.001817113;0.01106121
2.52;-0.003527584;0.000351423;0.009593876
2.525;-0.003022328;-0.000336871;0.006134698
2.53;-0.00062164;-0.00121391;0.00150559
2.535;0.002596474;-0.000239929;-0.002741154
2.54;0.005179804;0.002066178;-0.005463855
2.545;0.005843851;0.004175914;-0.006151826
2.55;0.004960464;0.005050796;-0.004997677
2.555;0.004451637;0.004153186;-0.002730484
2.56;0.005447521;0.002257603;0.000260504
2.565;0.007431415;0.000904076;0.003997162
2.57;0.00874422;0.000743443;0.00789756
2.575;0.007477066;0.002061362;0.010443541
2.58;0.003365401;0.004915443;0.010275945
2.585;-0.001521626;0.007956653;0.007453368
2.59;-0.004441338;0.009000495;0.003314255
2.595;-0.004161299;0.006731207;-0.000770581
2.6;-0.001538406;0.001808671;-0.004194708
2.605;0.001943806;-0.003221413;-0.006471515
2.61;0.005175324;-0.006102505;-0.006558712
2.615;0.007162549;-0.00732139;-0.003937416
2.62;0.007072763;-0.009288257;0.00052702
2.625;0.004499635;-0.012604679;0.005275232
2.63;0.000168143;-0.014526679;0.008475549
2.635;-0.00394365;-0.012671314;0.008459101
2.64;-0.006626367;-0.008307816;0.004893256
2.645;-0.007926504;-0.004375786;-0.000845283
2.65;-0.0072538;-0.002794595;-0.006298982
2.655;-0.003845002;-0.004134831;-0.008868734
2.66;0.001491773;-0.007848573;-0.007474948
2.665;0.006660726;-0.012104843;-0.003699553
2.67;0.00968519;-0.014181972;-0.000586156
2.675;0.009929134;-0.01272684;-0.000407353
2.68;0.008089643;-0.008918573;-0.003410333
2.685;0.005743917;-0.004566391;-0.007852306
2.69;0.004898813;-0.000490788;-0.010867649
2.695;0.005929;0.00266919;-0.010137865
2.7;0.007067021;0.003066188;-0.00604351
2.705;0.007117805;-0.000487652;-0.001507239
2.71;0.006302506;-0.005847677;0.000915857
2.715;0.004975131;-0.009617442;0.000593702
2.72;0.003342901;-0.010268973;-0.001757327
2.725;0.001439363;-0.00796358;-0.004585042
2.73;-0.000826606;-0.003931575;-0.006043323
2.735;-0.002782785;-0.000506818;-0.004996831
2.74;-0.002537296;0.000329985;-0.001907667
2.745;0.00122827;-0.001550962;0.001417661
2.75;0.006981543;-0.004977589;0.003491657
2.755;0.011374264;-0.008424246;0.004239767
2.76;0.011992886;-0.010649575;0.004522807
2.765;0.008815817;-0.011023175;0.005496545
2.77;0.004368328;-0.009413694;0.007714359
2.775;0.001362067;-0.006415532;0.009901828
2.78;-0.000043255;-0.002890113;0.009765705
2.785;-0.00124705;0.000490696;0.006499735
2.79;-0.003093619;0.002027418;0.001266194
2.795;-0.005498225;-0.000576141;-0.004392056
2.8;-0.00780669;-0.006801222;-0.009092928
2.805;-0.009481464;-0.012818163;-0.011680195
2.81;-0.010364091;-0.015369317;-0.012086027
2.815;-0.010379719;-0.013902008;-0.011040332
2.82;-0.009392281;-0.009738404;-0.008900494
2.825;-0.006730483;-0.005105606;-0.005829528
2.83;-0.001452774;-0.002241009;-0.002732331
2.835;0.005787643;-0.002361447;-0.001085754
2.84;0.011873285;-0.004631384;-0.001531631
2.845;0.013337681;-0.006810285;-0.003022237
2.85;0.009880856;-0.007609208;-0.00364566
2.855;0.005225892;-0.007115106;-0.002523567
2.86;0.003397005;-0.005537425;-0.00085731
2.865;0.004651912;-0.003333401;-0.000160601
2.87;0.005854303;-0.00163977;-0.000232658
2.875;0.004077824;-0.001059668;-0.000270269
2.88;-0.000936066;-0.000997891;-0.000311248
2.885;-0.006980628;-0.000948793;-0.00069491
2.89;-0.010756479;-0.001151591;-0.001619567
2.895;-0.010055675;-0.001792758;-0.002917429
2.9;-0.0057192;-0.002434028;-0.003462701
2.905;-0.000575177;-0.002539954;-0.001932255
2.91;0.003211757;-0.001990836;0.001495547
2.915;0.005066153;-0.00086385;0.005148328
2.92;0.005703463;-0.000090973;0.007450266
2.925;0.006377416;-0.001388283;0.00787265
2.93;0.00777412;-0.004674409;0.006451662
2.935;0.009588061;-0.007534079;0.003254824
2.94;0.010839828;-0.00820187;-0.00112852
